IP;Name
0.0.0.0;abklären
255.255.255.255;abklären
172.21.3.163;abklären
172.21.81.10;FER1
172.21.11.36;023 TS Tulpenstrasse
172.21.11.52;050 TS Wassergasse
172.21.11.68;052 TS Birnbäumen
172.21.11.84;069 TS Stationsweg
172.21.11.100;070 TS Waaghaus
172.21.12.116;074 TS Hintergerg
172.21.11.116;084 TS Ruckhalden
172.21.11.132;104 TS Neumarkt
172.21.11.148;115 TS Färberstrasse
172.21.11.164;140 TS Walenbüchel
172.21.11.180;146 TS Heiligkreuz
172.21.11.196;165 TS Steinachstrasse
172.21.11.212;166 TS Bildweiher
172.21.11.228;167 TS Spisertor
172.21.12.164;184 TS Spühlstrasse
172.21.11.244;196 TS Neudorf
172.21.12.4;199 TS Geltenwilen
172.21.12.132;206 MS Dottenwil
172.21.12.196;211 TS Freiwilen
172.21.12.36;213 TS Waldau
172.21.12.212;216 TS Im Grüntal
172.21.12.148;218 MS Kronbühl
172.21.12.20;219 TS Blumenberg
172.21.12.228;234 TS Wiesen
172.21.11.7;5200 HAN OBI
172.21.11.6;5201 HAN Kongresszentrum
172.21.11.5;5202 HAN Grossacker
172.21.11.4;5203 HAN Fachhochschule
172.21.11.8;5204 HAN Zweibruggenmühle
172.21.11.9;5205 HAN Krämer
172.21.10.198;49162 Kantonsspital
172.21.12.180;632 TS A1-Olma
172.21.12.244;633 TS A1-Blumenwis
172.21.10.166;638 TS KHK
172.21.12.52;625 GR Schlössli
172.21.12.68;653 GR Lettenstrasse
172.21.12.84;654 TS FWZ Lukasmühle
172.21.9.11;801 UW St.Gallen-Ost
172.21.9.12;802 UW Walenbüchel
172.21.9.13;803 UW Steinachstrasse
172.21.9.14;804 UW Schochengasse
172.21.9.15;805 UW Rorschach SNE
172.21.9.16;806 UW Breitfeld
172.21.9.18;803 UW Steinachstrasse LSA
172.21.0.13;LEA
172.21.0.12;Test Station
172.21.0.11;RSA CU
172.28.132.30;NTP Server
172.28.132.31;NTP Server
172.28.132.32;NTP Server
172.21.0.138;SGWVMOAP17.netzbetrieb.local
111.111.111.111;Fink
